C:\mbw\results\A16_278.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri  8-Mar-2019  5:28
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_303	C03	421	4.4	
 	Unk_304	C04	426	4.3	
 	Unk_305	C05	453	4.2	
 	Unk_306	C06	481	4.1	
 	Unk_307	D01	410	4.4	
 	Unk_308	D02	449	4.2	
 	Unk_309	D03	319	5.0	
 	Unk_310	D04	306	5.1	
 	Unk_311	D05	353	4.8	
 	Unk_312	D06	366	4.7	
 	Unk_313	A01	406	4.4	
 	Unk_314	A02	420	4.4	
 	Unk_315	A03	448	4.2	
 	Unk_316	A04	445	4.2	
 	Unk_317	A05	468	4.1	
 	Unk_318	A06	636	3.5	
 	Unk_319	B01	483	4.1	
 	Unk_320	B02	464	4.2	
 	Unk_321	B03	421	4.4	
 	Unk_322	B04	380	4.6	
 	Unk_323	B05	362	4.7	
 	Unk_324	B06	306	5.1	
 	Unk_325	C01	420	4.4	
 	Unk_326	C02	445	4.2	
 	Unk_327	C03	361	4.7	
 	Unk_328	C04	377	4.6	
 	Unk_329	C05	381	4.6	
 	Unk_330	C06	409	4.4	
 	Unk_331	D01	367	4.7	
 	Unk_332	D02	359	4.7	
 	Unk_333	D03	286	5.3	
 	Unk_334	D04	302	5.1	
 	Unk_335	D05	267	5.5	
 	Unk_336	D06	288	5.3	
 	Unk_337	A01	338	4.9	
 	Unk_338	A02	341	4.8	
 	Unk_339	A03	420	4.4	
 	Unk_340	A04	416	4.4	
 	Unk_341	A05	451	4.2	
 	Unk_342	A06	450	4.2	
 	Unk_343	B01	440	4.3	
 	Unk_344	B02	462	4.2	
 	Unk_345	B03	508	4.0	
 	Unk_346	B04	510	4.0	
 	Unk_347	B05	372	4.6	
 	Unk_348	B06	381	4.6	
 	Unk_349	C01	367	4.7	
 	Unk_350	C02	346	4.8	
 	Unk_351	C03	440	4.3	
 	Unk_352	C04	463	4.2	
 	Unk_353	C05	575	3.7	
 	Unk_354	C06	491	4.0	
 	Unk_355	D01	543	3.8	
 	Unk_356	D02	514	3.9	
 	Unk_357	D03	603	3.6	
 	Unk_358	D04	590	3.7	
 	Unk_359	D05	588	3.7	
 	Unk_360	D06	576	3.7	
 	Unk_361	A01	468	4.1	
 	Unk_362	A02	461	4.2	
 	Unk_363	A03	450	4.2	
 	Unk_364	A04	486	4.1	
 	Unk_365	A05	362	4.7	
 	Unk_366	A06	381	4.6	
 	Unk_367	B01	231	5.9	
 	Unk_368	B02	229	5.9	
 	Unk_369	B03	204	6.3	
 	Unk_370	B04	241	5.8	
 	Unk_371	B05	275	5.4	
 	Unk_372	B06	299	5.2	
 	Unk_373	C01	375	4.6	
 	Unk_374	C02	382	4.6	
 	Unk_375	C03	395	4.5	
 	Unk_376	C04	451	4.2	
 	Unk_377	C05	331	4.9	
 	Unk_378	C06	308	5.1	
 	Unk_379	D01	288	5.3	
 	Unk_380	D02	269	5.4	
 	Unk_381	D03	327	4.9	
 	Unk_382	D04	321	5.0	
 	Unk_383	D05	271	5.4	
 	Unk_384	D06	300	5.2	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	1939	1893	44	46	40	511	
B	491	523	433	644	331	405	
C	302	340	258	259	172	169	
D	99	99	89	79	15	18	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	563	510	389	419	354	364	
B	400	397	409	391	314	305	
C	300	270	360	328	422	430	
D	436	450	442	459	360	383	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	410	400	454	469	20	17	
B	414	457	375	361	405	391	
C	460	455	353	404	364	350	
D	320	321	253	313	184	163	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	289	339	398	362	392	359	
B	414	441	380	382	362	352	
C	451	455	504	506	401	388	
D	349	380	399	392	461	444	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	461	492	385	405	344	338	
B	464	490	398	353	441	431	
C	381	382	340	345	309	323	
D	459	424	489	492	244	220	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
A	190	203	177	187	179	172	
B	255	255	337	319	343	376	
C	484	503	531	542	506	520	
D	519	540	579	531	593	561	

End of plate 6
Plate 7
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   7/Shelf: 7/4*6


CCPM1

 	1	2	3	4	5	6	
A	567	541	584	606	550	573	
B	530	548	505	520	354	355	
C	415	449	496	463	538	523	
D	570	580	523	490	434	419	

End of plate 7
Plate 8
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   8/Shelf: 8/4*6


CCPM1

 	1	2	3	4	5	6	
A	434	440	509	490	515	515	
B	557	542	465	480	447	414	
C	489	456	559	558	605	587	
D	493	512	566	557	499	434	

End of plate 8
Plate 9
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   9/Shelf: 9/4*6


CCPM1

 	1	2	3	4	5	6	
A	452	463	515	468	401	397	
B	508	495	522	518	538	521	
C	361	365	287	287	226	245	
D	281	287	356	373	432	424	

End of plate 9
Plate 10
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  10/Shelf:10/4*6


CCPM1

 	1	2	3	4	5	6	
A	352	387	359	377	338	332	
B	368	372	431	382	443	441	
C	472	519	422	412	15	441	
D	418	436	482	522	372	356	

End of plate 10
Plate 11
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  11/Shelf:11/4*6


CCPM1

 	1	2	3	4	5	6	
A	466	439	439	431	411	399	
B	360	375	447	423	494	465	
C	436	477	347	396	365	388	
D	423	415	472	537	492	522	

End of plate 11
Plate 12
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  12/Shelf:12/4*6


CCPM1

 	1	2	3	4	5	6	
A	388	372	336	331	403	365	
B	452	477	473	513	500	452	
C	493	501	391	406	438	423	
D	338	324	331	354	268	241	

End of plate 12
Plate 13
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  13/Shelf:13/4*6


CCPM1

 	1	2	3	4	5	6	
A	239	266	264	288	347	324	
B	409	399	268	305	335	339	
C	423	381	421	426	453	481	
D	410	449	319	306	353	366	

End of plate 13
Plate 14
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  14/Shelf:14/4*6


CCPM1

 	1	2	3	4	5	6	
A	406	420	448	445	468	636	
B	483	464	421	380	362	306	
C	420	445	361	377	381	409	
D	367	359	286	302	267	288	

End of plate 14
Plate 15
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  15/Shelf:15/4*6


CCPM1

 	1	2	3	4	5	6	
A	338	341	420	416	451	450	
B	440	462	508	510	372	381	
C	367	346	440	463	575	491	
D	543	514	603	590	588	576	

End of plate 15
Plate 16
Cassette information:
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:  16/Shelf:16/4*6


CCPM1

 	1	2	3	4	5	6	
A	468	461	450	486	362	381	
B	231	229	204	241	275	299	
C	375	382	395	451	331	308	
D	288	269	327	321	271	300	

End of plate 16
Total count rate:   155945.1 CCPM
END
